crm_provider_id,npi,first_name,last_name,city,state,email,phone,current_order_id,current_cycle_start_date,current_cycle_end_date,current_subscription_status,is_frozen,frozen_from_date,frozen_to_date,created_at,updated_at
1,9600133890,Sarah,Smith,San Antonio,CA,sarah.wilson@gmail.com,+1342-954 2679,1,2024-01-26,2024-04-26,EXPIRED,false,,,2023-12-21T00:00:00,2025-08-06T00:00:00
2,5116155940,David,Smith,Austin,IL,,632-548-5552,1,2025-08-27,2025-11-27,EXPIRED,false,2025-10-30,2025-11-30,2025-08-11T00:00:00,2025-11-06T00:00:00
3,4752553419,Olivia,Garcia,Dallas,TX,olivia.johnson@clinichealth.com,+1-877-433-5741,2,2025-10-27,2026-04-27,ACTIVE,false,,,2025-08-07T00:00:00,2025-10-27T00:00:00
4,9537672423,James,Brown,Houston,CA,,+1 (232) 523-7572,2,2025-03-08,2025-09-08,CANCELLED,false,,,2024-12-02T00:00:00,2025-04-29T00:00:00
5,6978480184,Michael,Williams,Dallas,TX,michael.johnson@clinichealth.com,+1312-356 3621,1,2025-01-24,2025-04-24,FROZEN,true,2025-10-07,,2024-10-18T00:00:00,2025-06-08T00:00:00
6,5288095701,John,Jones,Austin,WA,john.brown@yahoo.com,+1308-840 5889,1,2025-04-15,2025-07-15,EXPIRED,false,,,2024-11-15T00:00:00,2025-06-29T00:00:00
7,4896383465,Olivia,,Los Angeles,TX,olivia.wilson@yahoo.com,978-745-3060,5,2025-01-05,2025-07-05,EXPIRED,false,,,2024-10-29T00:00:00,2025-06-02T00:00:00
8,0518347382,Michael,Johnson,San Antonio,WA,michael.brown@gmail.com,+1425-207 2163,1,2024-08-26,2024-11-26,EXPIRED,false,,,2024-05-15T00:00:00,2024-11-17T00:00:00
9,1065133387,Michael,,Miami,NY,,+1633-620 8651,3,2024-12-29,2025-09-29,CANCELLED,false,,,2024-07-07T00:00:00,2025-02-03T00:00:00
10,6773602606,Sarah,Davis,Dallas,TX,sarah.brown@yahoo.com,+1-867-753-1241,5,2025-10-12,2026-04-12,ACTIVE,false,,,2025-06-27T00:00:00,2025-10-29T00:00:00
11,9788208121,James,,Seattle,CA,james.smith@gmail.com,+1-259-793-9883,5,2024-08-12,2025-02-12,CANCELLED,false,,,2024-06-05T00:00:00,2025-10-06T00:00:00
